Delta_Secs, Player_Loc, Collision_Zone_loc, DTC_uu, Estimated_Gaze_FV
0.066865,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066727,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066235,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067417,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.065884,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066748,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066917,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066923,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.065996,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067061,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
